DOI,DID,yyyy,mm,dd,hh,min,timezone,xyear,LatDir,NSflag,LatD,LatM,LatS,LatDecimal,LongDir,EWflag,LongD,LongM,LongS,LongDecimal,altdepflag,altdep,Unit_altdep,sample type,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,sample_type2,name_river,river_code_MLT,Periods,Unit_Periods,Weight,Unit_Weight,Site_Number
10.34355/Fukushima.Pref.CEC.00014,53,2016,10,24,12,0,JST,2016.813014,N,1,37,49,43,37.82861111,E,1,140,31,12,140.52,1,49.5,m,Suspended Matter,137Cs,=,961 ,32 ,Bq kg-1,134Cs,=,152 ,14 ,Bq kg-1,river,Abukuma,W8202010001,194,Day,67.49 ,g,5
10.34355/Fukushima.Pref.CEC.00014,54,2016,12,21,12,0,JST,2016.971461,N,1,37,49,43,37.82861111,E,1,140,31,12,140.52,1,49.5,m,Suspended Matter,137Cs,=,434 ,19 ,Bq kg-1,134Cs,=,86 ,19 ,Bq kg-1,river,Abukuma,W8202010001,58,Day,0.34 ,g,5
10.34355/Fukushima.Pref.CEC.00014,55,2017,3,1,12,0,JST,2017.166667,N,1,37,49,43,37.82861111,E,1,140,31,12,140.52,1,49.5,m,Suspended Matter,137Cs,=,690 ,39 ,Bq kg-1,134Cs,<,97 ,,Bq kg-1,river,Abukuma,W8202010001,70,Day,0.39 ,g,5
10.34355/Fukushima.Pref.CEC.00014,56,2015,6,2,12,0,JST,2015.419406,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,"2,154 ",94 ,Bq kg-1,134Cs,=,562 ,59 ,Bq kg-1,river,Abukuma,W8202010001,140,Day,1.83 ,g,6
10.34355/Fukushima.Pref.CEC.00014,57,2015,8,3,12,0,JST,2015.588813,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,"1,812 ",109 ,Bq kg-1,134Cs,=,460 ,65 ,Bq kg-1,river,Abukuma,W8202010001,62,Day,2.14 ,g,6
10.34355/Fukushima.Pref.CEC.00014,58,2015,8,28,12,0,JST,2015.657306,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,"1,349 ",75 ,Bq kg-1,134Cs,=,342 ,45 ,Bq kg-1,river,Abukuma,W8202010001,25,Day,5.50 ,g,6
10.34355/Fukushima.Pref.CEC.00014,59,2015,10,14,12,0,JST,2015.785616,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,696 ,21 ,Bq kg-1,134Cs,=,163 ,10 ,Bq kg-1,river,Abukuma,W8202010001,47,Day,82.95 ,g,6
10.34355/Fukushima.Pref.CEC.00014,60,2016,1,15,12,0,JST,2016.038356,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,"1,097 ",19 ,Bq kg-1,134Cs,=,248 ,13 ,Bq kg-1,river,Abukuma,W8202010001,93,Day,0.73 ,g,6
10.34355/Fukushima.Pref.CEC.00014,61,2016,4,11,12,0,JST,2016.277397,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,724 ,43 ,Bq kg-1,134Cs,=,157 ,26 ,Bq kg-1,river,Abukuma,W8202010001,87,Day,2.32 ,g,6
10.34355/Fukushima.Pref.CEC.00014,62,2016,5,30,12,0,JST,2016.412785,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,779 ,38 ,Bq kg-1,134Cs,=,196 ,22 ,Bq kg-1,river,Abukuma,W8202010001,49,Day,8.74 ,g,6
10.34355/Fukushima.Pref.CEC.00014,63,2016,8,2,12,0,JST,2016.586073,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,"1,126 ",18 ,Bq kg-1,134Cs,=,213 ,10 ,Bq kg-1,river,Abukuma,W8202010001,64,Day,2.09 ,g,6
10.34355/Fukushima.Pref.CEC.00014,64,2016,10,17,12,0,JST,2016.793836,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,526 ,9 ,Bq kg-1,134Cs,=,92 ,4 ,Bq kg-1,river,Abukuma,W8202010001,76,Day,28.13 ,g,6
10.34355/Fukushima.Pref.CEC.00014,65,2017,1,6,12,0,JST,2017.013699,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,641 ,28 ,Bq kg-1,134Cs,=,100 ,22 ,Bq kg-1,river,Abukuma,W8202010001,81,Day,0.60 ,g,6
10.34355/Fukushima.Pref.CEC.00014,66,2017,2,27,12,0,JST,2017.154566,N,1,38,5,41,38.09472222,E,1,140,52,19,140.8719444,1,3.5,m,Suspended Matter,137Cs,=,487 ,36 ,Bq kg-1,134Cs,<,96 ,,Bq kg-1,river,Abukuma,W8202010001,52,Day,0.37 ,g,6
10.34355/Fukushima.Pref.CEC.00014,67,2015,4,17,12,0,JST,2015.293836,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,=,"18,250 ",277 ,Bq kg-1,134Cs,=,"5,430 ",159 ,Bq kg-1,river,Mano,W0700090001,77,Day,2.95 ,g,7
10.34355/Fukushima.Pref.CEC.00014,68,2015,6,2,12,0,JST,2015.419406,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,=,"13,306 ",411 ,Bq kg-1,134Cs,=,"3,491 ",236 ,Bq kg-1,river,Mano,W0700090001,46,Day,1.03 ,g,7
10.34355/Fukushima.Pref.CEC.00014,69,2015,7,22,12,0,JST,2015.557534,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,=,"14,964 ",256 ,Bq kg-1,134Cs,=,"4,047 ",144 ,Bq kg-1,river,Mano,W0700090001,50,Day,3.07 ,g,7
10.34355/Fukushima.Pref.CEC.00014,70,2015,8,25,12,0,JST,2015.649087,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,=,"17,614 ",204 ,Bq kg-1,134Cs,=,"4,579 ",118 ,Bq kg-1,river,Mano,W0700090001,34,Day,0.30 ,g,7
10.34355/Fukushima.Pref.CEC.00014,71,2016,2,16,12,0,JST,2016.124429,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,=,"2,687 ",618 ,Bq kg-1,134Cs,<,"1,838 ",,Bq kg-1,river,Mano,W0700090001,28,Day,0.02 ,g,7
10.34355/Fukushima.Pref.CEC.00014,72,2016,4,8,12,0,JST,2016.269178,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,=,"3,110 ",137 ,Bq kg-1,134Cs,=,627 ,111 ,Bq kg-1,river,Mano,W0700090001,52,Day,0.11 ,g,7
10.34355/Fukushima.Pref.CEC.00014,73,2016,6,21,12,0,JST,2016.471461,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,=,"7,411 ",132 ,Bq kg-1,134Cs,=,"1,726 ",80 ,Bq kg-1,river,Mano,W0700090001,74,Day,0.24 ,g,7
10.34355/Fukushima.Pref.CEC.00014,74,2016,7,28,12,0,JST,2016.573973,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,=,"6,619 ",322 ,Bq kg-1,134Cs,=,"1,075 ",192 ,Bq kg-1,river,Mano,W0700090001,37,Day,0.19 ,g,7
10.34355/Fukushima.Pref.CEC.00014,75,2016,10,17,12,0,JST,2016.793836,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,=,"6,390 ",106 ,Bq kg-1,134Cs,=,"1,126 ",47 ,Bq kg-1,river,Mano,W0700090001,81,Day,24.19 ,g,7
10.34355/Fukushima.Pref.CEC.00014,76,2016,12,20,12,0,JST,2016.968721,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,=,"3,890 ",101 ,Bq kg-1,134Cs,=,622 ,65 ,Bq kg-1,river,Mano,W0700090001,64,Day,0.23 ,g,7
10.34355/Fukushima.Pref.CEC.00014,77,2017,2,27,12,0,JST,2017.154566,N,1,37,42,57,37.71583333,E,1,140,50,22,140.8394444,1,106.5,m,Suspended Matter,137Cs,<,"1,009 ",,Bq kg-1,134Cs,<,"1,243 ",,Bq kg-1,river,Mano,W0700090001,69,Day,0.03 ,g,7
10.34355/Fukushima.Pref.CEC.00014,78,2015,4,17,12,0,JST,2015.293836,N,1,37,42,42,37.71166667,E,1,140,57,19,140.9552778,1,10,m,Suspended Matter,137Cs,=,"4,253 ",125 ,Bq kg-1,134Cs,=,"1,194 ",77 ,Bq kg-1,river,Mano,W0700090001,94,Day,1.98 ,g,8
