DOI,DID,yyyy,mm,dd,hh,min,timezone,xyear,LatDir,NSflag,LatD,LatM,LatS,LatDecimal,LongDir,EWflag,LongD,LongM,LongS,LongDecimal,altdepflag,altdep,Unit_altdep,sample type,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,sample_type2,name_river,river_code_MLT,Correction_Periods,Unit_Periods,Weight,Unit_Weight,SSA,Unit_SSA,Median_D50,Unit_Median,Site_Number
10.34355/CRiED.U.Tsukuba.00020,26,2012,6,21,12,0,JST,2012.471461,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"11,471 ",400 ,Bq kg-1,134Cs,=,"7,370 ",299 ,Bq kg-1,river,Mizusakai,-,22,Day,3.231 ,g,0.2267 ,m2 g-1,37.9 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,27,2012,6,29,12,0,JST,2012.493379,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"16,292 ",193 ,Bq kg-1,134Cs,=,"10,366 ",152 ,Bq kg-1,river,Mizusakai,-,8,Day,1.022 ,g,0.2046 ,m2 g-1,33.0 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,28,2012,12,5,12,0,JST,2012.927626,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"6,285 ",241 ,Bq kg-1,134Cs,=,"3,347 ",218 ,Bq kg-1,river,Mizusakai,-,159,Day,4.888 ,g,0.3948 ,m2 g-1,24.6 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,29,2012,12,19,12,0,JST,2012.965982,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"8,451 ",422 ,Bq kg-1,134Cs,=,"4,864 ",404 ,Bq kg-1,river,Mizusakai,-,14,Day,0.131 ,g,0.4706 ,m2 g-1,37.8 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,30,2013,1,11,12,0,JST,2013.027397,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"14,455 ",292 ,Bq kg-1,134Cs,=,"7,261 ",262 ,Bq kg-1,river,Mizusakai,-,23,Day,0.797 ,g,0.4766 ,m2 g-1,27.1 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,31,2013,1,23,12,0,JST,2013.060274,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"9,485 ",351 ,Bq kg-1,134Cs,=,"5,260 ",330 ,Bq kg-1,river,Mizusakai,-,12,Day,0.222 ,g,0.3658 ,m2 g-1,18.2 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,32,2013,2,27,12,0,JST,2013.154566,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"10,700 ",219 ,Bq kg-1,134Cs,=,"5,380 ",195 ,Bq kg-1,river,Mizusakai,-,35,Day,0.473 ,g,0.5041 ,m2 g-1,25.0 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,33,2013,4,18,12,0,JST,2013.296575,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"8,654 ",272 ,Bq kg-1,134Cs,=,"4,516 ",234 ,Bq kg-1,river,Mizusakai,-,50,Day,28.018 ,g,0.2779 ,m2 g-1,39.4 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,34,2013,5,21,12,0,JST,2013.388128,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"4,532 ",228 ,Bq kg-1,134Cs,=,"2,556 ",202 ,Bq kg-1,river,Mizusakai,-,33,Day,28.669 ,g,0.1720 ,m2 g-1,41.5 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,35,2013,6,18,12,0,JST,2013.463242,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"9,757 ",387 ,Bq kg-1,134Cs,=,"4,181 ",300 ,Bq kg-1,river,Mizusakai,-,28,Day,6.193 ,g,0.1672 ,m2 g-1,40.4 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,36,2013,7,26,12,0,JST,2013.568493,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"14,167 ",311 ,Bq kg-1,134Cs,=,"6,484 ",247 ,Bq kg-1,river,Mizusakai,-,38,Day,15.556 ,g,0.1846 ,m2 g-1,37.9 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,37,2013,8,9,12,0,JST,2013.605251,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"9,801 ",312 ,Bq kg-1,134Cs,=,"5,015 ",265 ,Bq kg-1,river,Mizusakai,-,14,Day,26.504 ,g,0.1890 ,m2 g-1,35.5 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,38,2013,8,23,12,0,JST,2013.643607,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"14,318 ",256 ,Bq kg-1,134Cs,=,"6,396 ",213 ,Bq kg-1,river,Mizusakai,-,14,Day,0.807 ,g,0.2134 ,m2 g-1,31.9 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,39,2013,9,12,12,0,JST,2013.696804,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"19,309 ",306 ,Bq kg-1,134Cs,=,"8,404 ",265 ,Bq kg-1,river,Mizusakai,-,20,Day,2.307 ,g,0.2521 ,m2 g-1,30.5 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,40,2013,9,26,12,0,JST,2013.73516,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"9,624 ",175 ,Bq kg-1,134Cs,=,"4,364 ",143 ,Bq kg-1,river,Mizusakai,-,14,Day,19.867 ,g,0.1752 ,m2 g-1,41.1 ,É m,1
